Abbreviations,Meaning
ω,Frequency
%,Percentage
1-T,1-Trichloroethane; Trichloroethate
1D,One Dimensional
1T-1C,1 Transistor/1 Capacitor
1T-2C,1 Transistor/2 Capacitor
2D,Two Dimensional
2DEG,Two Dimensional Electron Gas
3D,Three Dimensional
4G,4th Generation
A&P,Assembly And Packaging
A-GEMTF,Advanced Gem Task Force
A/D,Analog To Digital
A/R,Aspect Ratio
AA,Atomic Absorption; Anti-Alias
AAF,Assembly Analytical Forum 
AAS,Atomic Absorption Spectroscopy
AAS/GFAAS,Atomic Absorption Spectroscopy/Graphite Furnace Atomic Absorption Spectroscopy
ABC,Activity-Based Costing; Auto-Adjustment Of Image Brightness And Contrast
ABM,Activity-Based Management
ABS,Antilock Braking System
ABT,Abrasive Technology
ABW,Apparent Beam Width
AC,Alternating Current; Activated Carbon
ACCESS,Analysis Computer For Component Engineering Services Support
ACF,Anisotropic Conductive Film
ACGHIC,American Conference Of Governmental Industrial Hygienists
ACI,After Clean Inspection
ACLV,Across-Chip Linewidth Variation
ACP,Anisotropic Conductive Paste
ACPR,Adjacent Channel Power Ratio
ACT,Alternative Control Techniques; Actual Cycle Time
ADC,Analog-To-Digital Converter; Automated Data Collection; Automatic Defect Classification
ADC/DAC,Analog-Digital Converter/Digital-Analog Converter
ADDR,To Be Filled In
ADE,Advanced Development Environment; Annular Dark Field
ADI,After Develop Inspection
ADIG,Application Development Interface Guidelines
ADIO,Analog/Digital Input/Output
ADL,Add Lot
ADP,Administrative Data Processing
ADR,Automatic Defect Review
ADSL,Asymmetrical Digital Subscriber List
ADT,Applied Diagnostic Techniques
ADTSEM,Apply/Develop Track Specific Equipment Model
AE,Atomic Emission; Acoustic Emission; Absolute Ellipsometry; Advanced Energy
AEC,Advanced Equipment Controller
AECS,Advanced Equipment Control System; Automated Equipment Control System
AEI,After Etch Inspection; Automated Equipment Interface
AEM,Analytical Electron Microscopy
AES,Auger Emission Spectroscopy; Auger Electron Spectroscopy
AET,Accelerated Environmental Test
AEX,Acid Exhaust
AFD,Application Framework Definition
AFM,Atomic Force Microscopy
AFP,Abrasive-Free Polish
AGC,Automatic Gain Control
AGREE,Advisory Group Reliability Of Electronic Equipment
AGV,Automated Guided Vehicle
AHF,Anhydrous Hydrogen Fluoride
AHU,Air Handling Unit
AI,Artificial Intelligence
AIAG,Automotive Industry Action Group
AIMS,Aerial Image Microscope
AIR,Automated Image Retrieval
ALCVD,Atomic Layer Chemical Vapor Deposition
ALD,Atomic Layer Deposition
ALE,Atomic Layer Epitaxy; Application Logic Element
ALID,Alarm Event Identifier
ALS,Advanced Light Source (Lbnl); Advanced Low-Power Schottky
ALT,Accelerated Life Test
ALU,Arithmetic Logic Unit
AMC,Airborne Molecular Contamination
AMH,Automated Material Handling
AMHS,Automated Material Handling System
AML,Automatic Model Linking
AMS,Analog/Mixed-Signal
AMSRF,Analog
AMT,Advanced Manufacturing Technology
AMU,Atomic Mass Unit
ANN,Artificial Neural Network
ANOVA,Analysis Of Variance
ANS,Advanced Nanodefect Surface Inspection System
ANSI,American National Standards Institute
AOI,Automatic Optical Inspection
AOQL,Average Outgoing Quality Level
AOV,Air-Operated Valve
AP,Adhesion Promoter
APA,Advanced Performance Algorithm
APC,Advanced Process Control
APCD,Add-On Pollution Control Devices
APCFI,Advanced Process Control Framework Initiative
APCVD,Atmospheric Pressure Chemical Vapor Deposition
APD,Adhesion Promoter Dispense
APDs,Generally Avalanche Photodiodes
APEC,Advanced Process Equipment Control
APG,Algorithmic Pattern Generator
API,Application Programming Interface; Atmospheric Pressure Ionization; Application Programmer'S Interface
APIMS,Atmospheric Pressure Ionization Mass Spectroscopy
APM,Atmospheric Passivation Module; Acoustic Plate Mode; Ammonium Hydroxide/Hydrogen Peroxide Mixture
APQP,Advanced Product Quality Planning
APRDL,Advanced Products Research And Development Laboratory
APS,Active Pixel Sensor
APT,Advanced Probe Technology; Anti-Punchthrough
AQ,Administrative Quality
AQI,Access Query Interface
AQL,Acceptance Quality Level: Acceptable Quality Level
AQTX,Aquatic Toxicity
AR,Aspect Ratio; Antireflective
ARAMS,Automated Reliability
ARC,Antireflective Coating
ARDE,Aspect Ratio-Dependent Etching
ARIMA,Auto Regressive Moving Average With Integration
ARO,After Receipt Of Order
ARPA,Advanced Research Projects Agency (See Darpa)
ARRC,Advanced R2R Control
ARS,Angle-Resolved Scattering
AS/RS,Automated Storage And Retrieval System
ASAP,Advanced Stepper Application Program; As Soon As Possible
ASHRAE,American Society Of Heating Refrigeration And Airconditioning Engineers
ASIC,Application Specific Integrated Circuit
ASIC/LP,Low Power Asic
ASICs,Application Specific Integrated Circuits
ASME,American Society For Mechanical Engineering
ASO,Automatic Shutoff
ASP,Advanced Strip And Passivation; Advanced Strip Processor; Average Selling Price
ASR,Automated Send Receive
ASSP,Application-Specific Standard Product
AST,Accelerated Stress Test
ASTM,American Society For Testing And Materials
ASV,Advanced Safety Vehicle
ATA,Advanced Test Accelerator
ATDF,Advanced Tool Development Facility
ATE,Automatic Test Equipment
ATF,Automation Test Facility (Recently Renamed Sil)
ATG,Automatic Test Generation
