Abbreviations;Meaning
%;Percentage
2D;two-dimensional
2DEG;Two Dimensional Electron Gas
3D;three-dimensional
4G;4th Generation
AAF;Assembly Analytical Forum 
ACF;Anisotropically Conductive Film
AEI;Absorbed Electron Image
AES;Auger Electron Spectroscopy
AET;Accelerated Environmental Test
AFM;Atomic Force Microscopy
AFP;Atomic Force Probing
AIAG;Automotive Industry Action Group
ALD;Atomic Layer Deposition
ALT;Accelerated Life Test
AOI;Automatic Optical Inspection
AP;Atom Probe
APD;Avalanche Photodiode
APDs;Generally Avalanche Photodiodes
APQP;Advanced Product Quality Planning
APS;Active Pixel Sensor
AQL;Acceptable Quality Level
ASIC;Application Specific Integrated Circuit
ASICs;Application Specific Integrated Circuits
AST;Accelerated Stress Test
ASTM;American Society For Testing And Materials
AVR;Applied Voltage Ratio
AVRs;Applied Voltage Ratios
Ag;Silver
Al;Aluminum
Al2Cu;Metal Caused By Theta Phase
Au;Gold
BD;Breakdown
BEI;Backscattered Electron Imaging
BEM;Backside Emission Microscopy
BEOL;Back End of  Line  
BFA;Bouncing Failure Analysis
BGA;Ball Grid Array
BGAs;Ball Grid Arrays
BGBC;Gate Bottom Contact
BHT;Bias-Humidity-Temperature
BIR;Building-In Reliability
BISR;Built-In Self-Repair
BIST;Built-In-Self-Test
BJT;Bipolar Junction Transistor
BLT;Bond Line Thickness
BME;Base Metal Electrode
BOE;Buffered Oxide Etch
BSE;Backscattered Electron
BSEs;Topology Differences Backscattered Electrons
BT;Bias Temperature
Bi;Bipolar
BiMOS;Bipolar Mos
BiR;Building In Reliability
BioMEMS;Biological Mems
C-SAM;C-Mode Scanning Acoustic Microscopy
C60;Buckminsterfullerene
CAA;Corrective Action Assessment
CAD;Computer-Aided Design
CAE;Computer-Aided Engineering
CAFM;Conductive Atomic Force Microscopy
CALCE;Computer-Aided Life-Cycle Engineering
CATV;Community Access Television or Community Antenna Television
CBR;Based Reasoning
CCD;Charge-Coupled Devices
CCGA;Ceramic Column Grid Array
CCS;Constant Current Stress
CCSs;Constant Current Stresses
CCVC;Capacitive Coupling Voltage Contrast
CDEs;Radiation Cable Discharge Events
CDM;Charged Device Model
CE;Circuit Edit
CERDIP;Ceramic Dual-In-Line Package
CERQUAD;Ceramic Quad Flat Package
CESL;Contact Etch Stop Layer
CFM;Charge Force Microscopy
CFR;Constant Failure Rate
CHC;Channel Hot Carrier
CHE;Channel Hot Electrons
CHEs;Carriers Channel Hot Electrons
CI;Continuous Improvement
CLSM;Confocal Laser Scanning Microscopy
CMOS;Complementary Metal Oxide Semiconductor
CMP;Chip Multi-Processor
CNT;Carbon Nano Tube
CNTs;Carbon Nanotubes
COTS;Commercial Off-The-Shelf
CP;Charge Pumping
CPI;Continuous Process Improvement
CPMT;Packaging And Manufacturing Technology
CPU;Central Processing Unit
CRT;Cathode Ray Tube
CSG;Silicon On Glass
CSIC;Compound Semiconductor IC
CSLM;Confocal Scanning Laser Microscope
CSM;Continuous Stiffness Measurement
CSP;Chip-Scale Packaging
CST;Constant-Stress Test
CT;Computed Tomography
CTE;Coefficient of Thermal Expansion
CTR;Current Transfer Ratio
CVD;Chemical Vapour Deposition
CVS;Constant Voltage Stress
Cl;Chlorine
